Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A1,1,Infinity,-Infinity,Infinity
B1,2,-Infinity,-Infinity,Infinity
E1,3,Infinity,-Infinity,Infinity
B1,2,49,49,Infinity
A2,3,Infinity,49,Infinity
E1,4,9,49,Infinity
A2,3,9,49,Infinity
B1,2,49,49,Infinity
B2,3,Infinity,49,Infinity
E1,4,33,49,Infinity
B2,3,33,49,Infinity
B1,2,49,49,Infinity
A3,3,Infinity,49,Infinity
E1,4,17,49,Infinity
A3,3,17,49,Infinity
B1,2,49,49,Infinity
B3,3,Infinity,49,Infinity
E1,4,37,49,Infinity
B3,3,37,49,Infinity
B1,2,49,49,Infinity
C3,3,Infinity,49,Infinity
E1,4,20,49,Infinity
C3,3,20,49,Infinity
B1,2,49,49,Infinity
E3,3,Infinity,49,Infinity
E1,4,-8,49,Infinity
E3,3,-8,49,Infinity
B1,2,49,49,Infinity
A4,3,Infinity,49,Infinity
E1,4,9,49,Infinity
A4,3,9,49,Infinity
B1,2,49,49,Infinity
B4,3,Infinity,49,Infinity
E1,4,1,49,Infinity
B4,3,1,49,Infinity
B1,2,49,49,Infinity
E4,3,Infinity,49,Infinity
E1,4,-9,49,Infinity
E4,3,-9,49,Infinity
B1,2,49,49,Infinity
A5,3,Infinity,49,Infinity
E1,4,14,49,Infinity
A5,3,14,49,Infinity
B1,2,49,49,Infinity
B5,3,Infinity,49,Infinity
E1,4,19,49,Infinity
B5,3,19,49,Infinity
B1,2,49,49,Infinity
C5,3,Infinity,49,Infinity
E1,4,12,49,Infinity
C5,3,12,49,Infinity
B1,2,49,49,Infinity
D5,3,Infinity,49,Infinity
E1,4,10,49,Infinity
D5,3,10,49,Infinity
B1,2,49,49,Infinity
E5,3,Infinity,49,Infinity
E1,4,-1,49,Infinity
E5,3,-1,49,Infinity
B1,2,49,49,Infinity
A1,1,49,-Infinity,49
E1,2,-Infinity,-Infinity,49
B1,3,Infinity,-Infinity,49
E1,2,21,21,49
A2,3,Infinity,21,49
B1,4,9,21,49
A2,3,9,21,49
E1,2,21,21,49
B2,3,Infinity,21,49
B1,4,1,21,49
B2,3,1,21,49
E1,2,21,21,49
A3,3,Infinity,21,49
B1,4,17,21,49
A3,3,17,21,49
E1,2,21,21,49
B3,3,Infinity,21,49
B1,4,37,21,49
B3,3,37,21,37
E1,2,37,37,49
C3,3,Infinity,37,49
B1,4,20,37,49
C3,3,20,37,49
E1,2,37,37,49
E3,3,Infinity,37,49
B1,4,-8,37,49
E3,3,-8,37,49
E1,2,37,37,49
A4,3,Infinity,37,49
B1,4,9,37,49
A4,3,9,37,49
E1,2,37,37,49
B4,3,Infinity,37,49
B1,4,1,37,49
B4,3,1,37,49
E1,2,37,37,49
E4,3,Infinity,37,49
B1,4,-9,37,49
E4,3,-9,37,49
E1,2,37,37,49
A5,3,Infinity,37,49
B1,4,14,37,49
A5,3,14,37,49
E1,2,37,37,49
B5,3,Infinity,37,49
B1,4,19,37,49
B5,3,19,37,49
E1,2,37,37,49
C5,3,Infinity,37,49
B1,4,12,37,49
C5,3,12,37,49
E1,2,37,37,49
D5,3,Infinity,37,49
B1,4,10,37,49
D5,3,10,37,49
E1,2,37,37,49
E5,3,Infinity,37,49
B1,4,-1,37,49
E5,3,-1,37,49
E1,2,37,37,49
A1,1,49,-Infinity,49
root,0,19,19,Infinity
B1,1,Infinity,19,Infinity
A1,2,-Infinity,19,Infinity
E1,3,Infinity,19,Infinity
A1,2,41,41,Infinity
A2,3,Infinity,41,Infinity
E1,4,1,41,Infinity
A2,3,1,41,Infinity
A1,2,41,41,Infinity
B2,3,Infinity,41,Infinity
E1,4,-7,41,Infinity
B2,3,-7,41,Infinity
A1,2,41,41,Infinity
A3,3,Infinity,41,Infinity
E1,4,9,41,Infinity
A3,3,9,41,Infinity
A1,2,41,41,Infinity
B3,3,Infinity,41,Infinity
E1,4,29,41,Infinity
B3,3,29,41,Infinity
A1,2,41,41,Infinity
C3,3,Infinity,41,Infinity
E1,4,12,41,Infinity
C3,3,12,41,Infinity
A1,2,41,41,Infinity
E3,3,Infinity,41,Infinity
E1,4,-16,41,Infinity
E3,3,-16,41,Infinity
A1,2,41,41,Infinity
A4,3,Infinity,41,Infinity
E1,4,1,41,Infinity
A4,3,1,41,Infinity
A1,2,41,41,Infinity
B4,3,Infinity,41,Infinity
E1,4,-7,41,Infinity
B4,3,-7,41,Infinity
A1,2,41,41,Infinity
E4,3,Infinity,41,Infinity
E1,4,-17,41,Infinity
E4,3,-17,41,Infinity
A1,2,41,41,Infinity
A5,3,Infinity,41,Infinity
E1,4,6,41,Infinity
A5,3,6,41,Infinity
A1,2,41,41,Infinity
B5,3,Infinity,41,Infinity
E1,4,11,41,Infinity
B5,3,11,41,Infinity
A1,2,41,41,Infinity
C5,3,Infinity,41,Infinity
E1,4,4,41,Infinity
C5,3,4,41,Infinity
A1,2,41,41,Infinity
D5,3,Infinity,41,Infinity
E1,4,2,41,Infinity
D5,3,2,41,Infinity
A1,2,41,41,Infinity
E5,3,Infinity,41,Infinity
E1,4,-9,41,Infinity
E5,3,-9,41,Infinity
A1,2,41,41,Infinity
B1,1,41,19,41
E1,2,-Infinity,19,41
A1,3,Infinity,19,41
E1,2,21,21,41
A2,3,Infinity,21,41
A1,4,1,21,41
A2,3,1,21,41
E1,2,21,21,41
B2,3,Infinity,21,41
A1,4,-7,21,41
B2,3,-7,21,41
E1,2,21,21,41
A3,3,Infinity,21,41
A1,4,9,21,41
A3,3,9,21,41
E1,2,21,21,41
B3,3,Infinity,21,41
A1,4,29,21,41
B3,3,29,21,29
E1,2,29,29,41
C3,3,Infinity,29,41
A1,4,12,29,41
C3,3,12,29,41
E1,2,29,29,41
E3,3,Infinity,29,41
A1,4,-16,29,41
E3,3,-16,29,41
E1,2,29,29,41
A4,3,Infinity,29,41
A1,4,1,29,41
A4,3,1,29,41
E1,2,29,29,41
B4,3,Infinity,29,41
A1,4,-7,29,41
B4,3,-7,29,41
E1,2,29,29,41
E4,3,Infinity,29,41
A1,4,-17,29,41
E4,3,-17,29,41
E1,2,29,29,41
A5,3,Infinity,29,41
A1,4,6,29,41
A5,3,6,29,41
E1,2,29,29,41
B5,3,Infinity,29,41
A1,4,11,29,41
B5,3,11,29,41
E1,2,29,29,41
C5,3,Infinity,29,41
A1,4,4,29,41
C5,3,4,29,41
E1,2,29,29,41
D5,3,Infinity,29,41
A1,4,2,29,41
D5,3,2,29,41
E1,2,29,29,41
E5,3,Infinity,29,41
A1,4,-9,29,41
E5,3,-9,29,41
E1,2,29,29,41
B1,1,41,19,41
root,0,19,19,Infinity
